Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.25479092321589E-21,2.47006087070268E-18,0.0322824606373035,0,0,0,8.06902350047404,0.0832914977316896,-5.84842542469133E-22,-1.76225154653853E-22,0.0832955238849743,4.76846783435556E-18,0.160966672499056,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 1,0.0783521774476468,0.0921082793925729,4.90597538775062E-05,0,0,0,0.934565597220902,0.00289623013999515,0.00041529244531365,3.19225255922078E-07,0.000941417812674983,-2.0742837824527E-06,0.00321264958649519,0,0,0,0,0,0,package://arm/meshes/Link 1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link 1.STL,,Link1-1,Origin_J1,Axis_J1,J1,revolute,0,0,0,1.57079632679489,-1.04719755119658,2.90734093334632,base_link,0.866025403784428,0.500000000000018,0,0,0,0,0,,,,,,,,
Link 2,8.67361737988404E-17,0.0615151777441255,-0.0291227537838887,0,0,0,0.890903908688773,0.0029825603096014,-2.10402984097968E-18,-5.42101086242752E-20,0.000716462409409863,-6.83896723797258E-06,0.00311758743436415,0,0,0,0,0,0,package://arm/meshes/Link 2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link 2.STL,,Link2.1-1,Origin_J2,Axis_J2,J2,revolute,0.071389727457339,0.137349364905391,0.0390020355239111,3.14159265358979,0,2.52977184057222,Link 1,0,0,1,0,0,0,0,,,,,,,,
Link 3,9.0205620750794E-17,0.131423157128198,5.67889432701169E-05,0,0,0,0.807367694170484,0.00259581377231479,-1.57717534778751E-18,0,0.000597502088672014,-3.29613204525467E-06,0.00266390236892209,0,0,0,0,0,0,package://arm/meshes/Link 3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link 3.STL,,Link2.2-1,Origin_J3,Axis_J3,J3,revolute,0,0.124686683491331,-0.0289979644760894,0,0.633648952817516,0,Link 2,0,1,0,0,0,0,0,,,,,,,,
Link 4,5.68789947352766E-06,0.0448174738478217,-0.0681307538176968,0,0,0,0.85026785319168,0.00234136324066375,1.06328959993442E-06,-6.31826871638069E-10,0.000772113878098402,-4.98256662781657E-06,0.00251347600537305,0,0,0,0,0,0,package://arm/meshes/Link 4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link 4.STL,,Link3-1,Origin_J4,Axis_J4,J4,revolute,0,0.203313316508669,0,-3.14159265358979,0,2.3727514107116,Link 3,0,0,1,0,0,0,0,,,,,,,,
Link 5,-1.55875312657372E-12,0.0846291283691472,0.000315691746062413,0,0,0,0.626144083118912,0.00147092834508345,7.9218458236361E-14,-7.58916584089886E-14,0.000532158978727164,-1.35364459057014E-05,0.0015159065310441,0,0,0,0,0,0,package://arm/meshes/Link 5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link 5.STL,,Link4-1,Origin_J5,Axis_J5,J5,revolute,0,0.124890241853048,-0.0680000000000002,0,0.655112863125005,0,Link 4,0,1,0,0,0,0,0,,,,,,,,
Link 6,1.38777878078145E-16,0.0642897042087942,-8.05832199057555E-05,0,0,0,0.537572111517303,0.00119948797156191,-8.06375365786094E-19,-5.42101086242752E-20,0.000373644714298053,-2.78498444848688E-06,0.00129181093248291,0,0,0,0,0,0,package://arm/meshes/Link 6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link 6.STL,,Link5-1,Origin_J6,Axis_J6,J6,continuous,0,0.153109758146952,0,3.14159265358979,0,3.05154839233588,Link 5,0,0,1,0,0,0,0,,,,,,,,
