                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9323,                 2.0867,                 1.1838,                0.00694,                      1,                0.16583,                0.04975,                 1.9643,                 4.9785,                 2.6374,             0.00032232,             0.00032232,             0.00032232
                     36,                0.95146,                 1.7939,                 1.2066,                0.00694,                      1,                0.16583,                0.04975,                 1.9643,                 4.9785,                 2.6374,             0.00032685,             0.00032685,             0.00032685
                     37,                0.84607,                 1.9094,                 1.1966,                0.00714,                      1,                 0.0995,                 0.0199,                 1.9604,                 4.9078,                 2.7263,             0.00033109,             0.00033109,             0.00033109
                     38,                 1.1007,                 2.1995,                 1.4088,                0.00714,                      1,                 0.0995,                 0.0199,                 1.9604,                 4.9078,                 2.7263,             0.00033506,             0.00033506,             0.00033506
                     39,                 1.0813,                 2.0158,                 1.2453,                0.00719,                      1,                0.09045,                0.01809,                 1.9977,                 4.8292,                 2.8195,             0.00033874,             0.00033874,             0.00033874
                     40,                 1.0473,                 1.8714,                 1.2143,                0.00719,                      1,                0.09045,                0.01809,                 1.9977,                 4.8292,                 2.8195,             0.00034213,             0.00034213,             0.00034213
                     41,                 1.2648,                 1.9412,                 1.4466,                0.00725,                      1,                0.12437,                0.01244,                 2.1065,                 5.0829,                 2.9017,             0.00034525,             0.00034525,             0.00034525
                     42,                 1.2064,                 2.0744,                 1.4041,                0.00725,                      1,                0.12437,                0.01244,                 2.1065,                 5.0829,                 2.9017,             0.00034808,             0.00034808,             0.00034808
                     43,                0.99864,                 2.1947,                 1.2645,                0.00741,                      1,                0.11056,                0.01106,                 2.2078,                 5.3203,                 2.9241,             0.00035063,             0.00035063,             0.00035063
                     44,                0.94934,                 1.7387,                 1.2147,                0.00741,                      1,                0.11056,                0.01106,                 2.2078,                 5.3203,                 2.9241,             0.00035289,             0.00035289,             0.00035289
                     45,                0.91922,                 1.8613,                 1.1786,                0.00855,                      1,                0.06219,                0.00622,                 2.2913,                 5.2283,                 2.9992,             0.00035487,             0.00035487,             0.00035487
                     46,                 0.9863,                 1.7256,                 1.1813,                0.00855,                      1,                0.06219,                0.00622,                 2.2913,                 5.2283,                 2.9992,             0.00035657,             0.00035657,             0.00035657
                     47,                0.88037,                  1.856,                 1.0714,                0.00847,                      1,                0.06219,                0.00622,                 2.3474,                 5.0752,                 3.2416,             0.00035799,             0.00035799,             0.00035799
                     48,                 1.2483,                 2.0067,                 1.2847,                0.00847,                      1,                0.06219,                0.00622,                 2.3474,                 5.0752,                 3.2416,             0.00035912,             0.00035912,             0.00035912
                     49,                0.85819,                 1.7256,                 1.2322,                  0.008,                      1,                0.05528,                0.01106,                 2.3756,                 5.0546,                 3.3363,             0.00035997,             0.00035997,             0.00035997
                     50,                 1.0693,                 1.7241,                 1.3067,                  0.008,                      1,                0.05528,                0.01106,                 2.3756,                 5.0546,                 3.3363,             0.00036054,             0.00036054,             0.00036054
                     51,                 1.0435,                 1.5148,                 1.2547,                0.00806,                      1,                0.07107,                0.03465,                 2.2489,                 4.7367,                  2.922,             0.00036082,             0.00036082,             0.00036082
                     52,                0.98657,                 1.7257,                 1.1528,                0.00806,                      1,                0.07107,                0.03465,                 2.2489,                 4.7367,                  2.922,             0.00036082,             0.00036082,             0.00036082
                     53,                 1.0326,                 1.7067,                 1.2426,                0.00806,                      1,                0.07107,                0.03465,                 2.2489,                 4.7367,                  2.922,             0.00036054,             0.00036054,             0.00036054
                     54,                 1.0798,                 1.6951,                 1.2187,                0.00752,                      1,                 0.4975,                0.08399,                  2.205,                 4.4853,                 2.8188,             0.00035998,             0.00035998,             0.00035998
                     55,                 1.0146,                 1.6967,                 1.1986,                0.00752,                      1,                 0.4975,                0.08399,                  2.205,                 4.4853,                 2.8188,             0.00035913,             0.00035913,             0.00035913
                     56,                0.99475,                 1.7749,                 1.2985,                0.00752,                      1,                 0.4975,                0.08399,                  2.205,                 4.4853,                 2.8188,               0.000358,               0.000358,               0.000358
                     57,                 0.9756,                 1.7994,                 1.2074,                0.00746,                      1,                  0.995,                 0.3184,                 2.0846,                 4.3561,                 2.8114,             0.00035659,             0.00035659,             0.00035659
                     58,                0.97177,                 1.7581,                 1.1555,                0.00746,                      1,                  0.995,                 0.3184,                 2.0846,                 4.3561,                 2.8114,             0.00035489,             0.00035489,             0.00035489
